"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C62","CAPC2012X135N","39.9mm","13.3mm","39.9mm","13.3mm","39.9mm","14.2mm","T","270.00","CapC-0805-10uF 6.3V"
"C14","CAP_1005-0402","41.01mm","19.02mm","41.01mm","19.02mm","41.01mm","18.52mm","T","90.00","CapC-0402-100nF"
"U11","SOT23-5","19.55mm","11.35mm","19.55mm","11.35mm","20.85mm","10.4mm","T","180.00","EEPROM - Serial I2C"
"C61","CAP_1005-0402","16.85mm","11.35mm","16.85mm","11.35mm","16.85mm","10.85mm","T","90.00","CapC-0402-100nF"
"FANS","HDR2X3-Header","60.325mm","5.969mm","61.595mm","3.429mm","61.595mm","3.429mm","T","90.00","FAN0"
"THERM_HEADER","HDR1X8-HEADER","55.626mm","21.463mm","46.736mm","21.463mm","46.736mm","21.463mm","T","360.00","T0"
"PWR_AUX","HDR2X3-Header","60.579mm","29.083mm","63.119mm","30.353mm","63.119mm","30.353mm","T","180.00","Header 3X2"
"R64","RESC1005X40N","75mm","13.05mm","75mm","13.05mm","75mm","13.55mm","T","270.00","Res-0402-100K"
"Q7","PowerPAK_SC-70","70.8mm","13.21mm","70.8mm","13.2mm","69.875mm","12.55mm","T","90.00","SIA453EDJ-T1-GE3"
"D3","SOD523","73.5mm","13.1mm","73.5mm","13.1mm","73.5mm","12.25mm","T","270.00","Diode Zener 10V"
"F2","PTC_Fuse1608-0603","15.1mm","9.95mm","15.1mm","9.95mm","15.1mm","10.65mm","T","270.00","PTC Resettable Fuse"
"F1","PTC_Fuse1608-0603","90.15mm","35.85mm","90.15mm","35.85mm","90.15mm","35.15mm","T","90.00","PTC Resettable Fuse"
"R57","RESC1005X40N","77.342mm","55mm","77.342mm","55mm","77.342mm","54.5mm","T","90.00","Res-0402-1K"
"E-STOP","HDR1X3-HEADER","76.9519mm","58.668mm","74.4119mm","58.668mm","74.4119mm","58.668mm","T","360.00","Header 3"
"R15","RESC1005X40N","11.35mm","16.5mm","11.35mm","16.5mm","11.85mm","16.5mm","T","180.00","Res-0402-10K"
"R23","RESC1005X40N","4.85mm","16.5mm","4.85mm","16.5mm","4.35mm","16.5mm","T","360.00","Res-0402-10K"
"R22","RESC1005X40N","17.15mm","24.15mm","17.15mm","24.15mm","17.15mm","24.65mm","T","270.00","Res-0402-10K"
"ESP_PROG","HDR1X6-HEADER","8.382mm","35.306mm","14.732mm","35.306mm","14.732mm","35.306mm","T","180.00","Header 6"
"EXP3","HDR2X10-HEADER","97.17mm","25.5mm","95.9mm","36.93mm","95.9mm","36.93mm","T","270.00","Header 10X2"
"U1","MICRO-SD","8.28mm","25.8826mm","9.37mm","26.289mm","5.08mm","23.876mm","T","90.00","MICROSD"
"R4","RESC1005X40N","13.954mm","16.51mm","13.954mm","16.51mm","14.454mm","16.51mm","T","180.00","Res-0402-1K"
"C1","CAP_1005-0402","11.36mm","17.8mm","11.36mm","17.8mm","11.86mm","17.8mm","T","180.00","CapC-0402-4.7uF-10V"
"SWD","HDR2X3-Header","49.403mm","29.083mm","51.943mm","30.353mm","51.943mm","30.353mm","T","180.00","Header 3X2"
"XT1","CERALOCK_CSTCE_G","41.99mm","21.9mm","41.99mm","21.9mm","41.99mm","23.1mm","T","270.00","Ceramic Resonator CSTCE12M0G55-R0"
"LD7","LED_1608-0603","71.9715mm","16.58mm","71.9715mm","16.58mm","71.1215mm","16.58mm","T","360.00","GREEN"
"U2","STM-LQFP100_N","31.09mm","22.16mm","31.09mm","22.16mm","38.64mm","16.16mm","T","180.00","STM32F446VET6"
"S1","SW-PB_SMD_2pin","29.972mm","35.298mm","29.972mm","35.298mm","33.822mm","35.298mm","T","180.00","Reset"
